"gene_id","gene_name","bmp4_rep1","bmp4_rep2","bmp4_rep3","bmp4_tgfb2_rep1","bmp4_tgfb2_rep2","bmp4_tgfb2_rep3","nontreated_rep1","nontreated_rep2","nontreated_rep3","tgfb2_rep1","tgfb2_rep2","tgfb2_rep3"
"ENSMUSG00000116079.1","Gm36245",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116081.1","Gm49593",0,0,0,1,0,0,0,0,0,2,0,0
"ENSMUSG00000116083.1","Gm5469",6.513,1.51,10.062,0,3.691,3.91,1.846,7.412,12.505,0,0,18.46
"ENSMUSG00000116088.1","Gm49460",0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000116089.1","Gm7859",1,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000116090.1","Rpl19-ps6",4.475,5.602,5.588,13.679,5.59,11.271,13.421,3.29,1.084,7.841,6.739,4.957
"ENSMUSG00000116091.1","Gm49479",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116092.1","Gm49422",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116093.1","Gm3888",0,0,0,0,0,0,1,0,2,0,0,0
"ENSMUSG00000116095.1","Gm49549",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116096.1","4933404G15Rik",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116097.1","Gm36738",0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116102.1","Gm20082",0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000116104.1","Gm46524",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116107.1","Gm49423",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116109.1","Gm49498",0,4,4,0,1,3,0,0,0,2,0,8
"ENSMUSG00000116113.1","Gm49545",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116114.1","Gm35853",16.047,6,22.025,60.352,11.018,30.163,5.028,5.012,11.091,52.791,17.182,49.282
"ENSMUSG00000116116.1","Gm671",24.515,1,4,9,5,1,2,3,10,7,9,1
"ENSMUSG00000116117.1","Cyp2d39-ps",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116118.1","Gm49511",0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000116120.1","Eif2s3x-ps1",0,1,0,0,0,0,1.001,0,2,1,1.001,2
"ENSMUSG00000116121.1","Gm49486",1.551,0,8.842,29.494,11.157,0,16.444,14.403,5.878,2.159,10.078,2.336
"ENSMUSG00000116122.1","Gm49537",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116123.1","Gm49451",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116124.1","Gm49420",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116125.1","Gm41361",0,0,2,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116127.1","Gm8375",0,0,0,0,0,3.003,0,0,0,0,1.001,0
"ENSMUSG00000116129.1","Gm5477",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116130.1","Gm49431",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116131.1","Gm49506",0,0,0,10,0,0,0,0,5,0,0,6
"ENSMUSG00000116132.1","Gm49428",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116136.1","Gm3861",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116138.1","C030006K11Rik",721,339.999,250,738,377.001,234,457,266.001,248,631,322,331.999
"ENSMUSG00000116140.1","Gm7748",0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000116141.1","Gm49495",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116145.1","5730521K06Rik",1,0,1.117,0,2.084,0,4.131,4,1.087,2,1,0
"ENSMUSG00000116149.1","Gm18476",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116150.1","Gm3711",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116151.1","Gm49535",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116155.1","Gm34646",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116157.1","Cyp2d67-ps",0,0,0,0,0,0,0,0,0,0,0,0
